Data, Hum, Temp
2015-01-31_21:22:56,39,18
2015-01-31_21:32:57,39,18
2015-01-31_21:42:57,39,18
2015-01-31_21:52:58,39,18
2015-01-31_22:02:58,39,18
2015-01-31_22:12:59,39,18
2015-01-31_22:22:59,39,18
2015-01-31_22:33:00,39,18
2015-01-31_22:43:00,39,18
2015-01-31_22:53:01,39,18
2015-01-31_23:03:02,39,18
2015-01-31_23:13:02,39,18
2015-01-31_23:23:03,39,18
2015-01-31_23:33:04,39,18
2015-01-31_23:43:04,39,18
2015-01-31_23:53:05,39,18
2015-02-01_00:03:06,39,18
2015-02-01_00:13:06,39,18
2015-02-01_00:23:07,39,18
2015-02-01_00:33:07,39,18
2015-02-01_00:43:08,39,18
2015-02-01_00:53:08,39,18
2015-02-01_01:03:09,39,17
2015-02-01_01:13:09,39,17
2015-02-01_01:23:10,39,17
2015-02-01_01:33:10,39,17
2015-02-01_01:43:11,39,17
2015-02-01_01:53:11,39,17
2015-02-01_02:03:12,39,17
2015-02-01_02:13:12,39,17
2015-02-01_02:23:13,39,17
2015-02-01_02:33:14,39,17
2015-02-01_02:43:14,39,17
2015-02-01_02:53:15,39,17
2015-02-01_03:03:15,39,17
2015-02-01_03:13:16,39,17
2015-02-01_03:23:16,39,17
2015-02-01_03:33:17,39,17
2015-02-01_03:43:17,39,17
2015-02-01_03:53:18,39,17
2015-02-01_04:03:18,39,17
2015-02-01_04:13:19,39,17
2015-02-01_04:23:20,40,16
2015-02-01_04:33:20,40,16
2015-02-01_04:43:21,40,16
2015-02-01_04:53:21,40,16
2015-02-01_05:03:22,40,16
2015-02-01_05:13:22,40,16
2015-02-01_05:23:23,40,16
2015-02-01_05:33:23,40,16
2015-02-01_05:43:24,40,16
2015-02-01_05:53:24,40,16
2015-02-01_06:03:25,40,16
2015-02-01_06:13:25,39,17
2015-02-01_06:23:26,39,17
2015-02-01_06:33:26,39,17
2015-02-01_06:43:27,39,17
2015-02-01_06:53:27,39,17
2015-02-01_07:03:28,39,17
2015-02-01_07:13:28,39,17
2015-02-01_07:23:29,39,17
2015-02-01_07:33:30,39,18
2015-02-01_07:43:30,39,18
2015-02-01_07:53:31,39,18
2015-02-01_08:03:31,38,19
2015-02-01_08:13:32,38,20
2015-02-01_08:23:32,38,20
2015-02-01_08:33:33,37,21
2015-02-01_08:43:33,38,20
2015-02-01_10:20:46,39,18
2015-02-01_10:30:46,39,18
2015-02-01_10:40:47,39,18
2015-02-01_10:50:47,39,18
2015-02-01_11:00:48,39,18
2015-02-01_11:10:48,39,18
2015-02-01_11:30:09,39,18
2015-02-01_11:40:09,39,18
2015-02-01_11:50:10,39,18
2015-02-01_12:00:10,39,18
2015-02-01_12:10:11,39,18
2015-02-01_12:20:11,39,18
2015-02-01_12:30:12,39,18
2015-02-01_12:40:12,39,18
2015-02-01_12:50:13,39,18
2015-02-01_13:00:13,39,18
2015-02-01_13:10:14,39,18
2015-02-01_13:20:14,39,18
2015-02-01_13:30:15,39,18
2015-02-01_13:40:15,39,18
2015-02-01_13:50:16,39,18
2015-02-01_14:00:16,39,18
2015-02-01_14:10:17,39,18
2015-02-01_14:20:17,39,18
2015-02-01_14:30:18,39,18
2015-02-01_14:40:18,39,18
2015-02-01_14:50:19,39,18
2015-02-01_15:00:19,39,18
2015-02-01_15:10:20,39,18
2015-02-01_15:20:20,38,18
2015-02-01_15:30:21,38,18
2015-02-01_15:40:21,38,18
2015-02-01_15:50:22,38,18
2015-02-01_16:00:22,38,18
2015-02-01_16:10:23,38,18
2015-02-01_16:20:23,38,18
2015-02-01_16:30:24,38,18
2015-02-01_16:40:24,38,18
2015-02-01_16:50:25,38,18
2015-02-01_17:00:25,38,18
2015-02-01_17:10:26,38,18
2015-02-01_17:20:26,38,18
2015-02-01_17:30:27,38,18
2015-02-01_17:40:27,38,18
2015-02-01_17:50:28,38,18
2015-02-01_18:00:28,38,18
2015-02-01_18:10:29,38,18
2015-02-01_18:20:29,38,18
2015-02-01_18:30:30,38,18
2015-02-01_18:40:30,38,18
2015-02-01_18:50:31,38,18
2015-02-01_19:00:31,38,18
2015-02-01_19:10:32,39,18
2015-02-01_19:20:33,39,18
2015-02-01_19:30:33,38,18
2015-02-01_19:40:34,37,19
2015-02-01_19:50:34,37,19
2015-02-01_20:00:35,37,19
2015-02-01_20:10:35,37,19
2015-02-01_20:20:36,37,19
2015-02-01_20:30:36,39,18
2015-02-01_20:40:37,38,18
2015-02-01_20:50:37,39,18
2015-02-01_21:00:38,39,18
2015-02-01_21:10:38,38,18
2015-02-01_21:20:39,38,18
2015-02-01_21:30:39,39,18
2015-02-01_21:40:40,39,18
2015-02-01_21:50:40,39,18
2015-02-01_22:00:41,39,18
2015-02-01_22:10:41,39,18
2015-02-01_22:20:42,39,18
2015-02-01_22:30:42,39,18
2015-02-01_22:40:44,38,19
2015-02-01_22:50:44,38,19
2015-02-01_23:00:45,38,19
2015-02-01_23:10:45,38,19
2015-02-01_23:20:46,39,18
2015-02-01_23:30:46,39,18
2015-02-01_23:40:47,39,18
2015-02-01_23:50:47,39,18
2015-02-02_00:00:48,39,18
2015-02-02_00:10:49,39,18
2015-02-02_00:20:49,39,18
2015-02-02_00:30:50,39,18
2015-02-02_00:40:50,39,18
2015-02-02_00:50:51,39,18
2015-02-02_01:00:51,39,18
2015-02-02_01:10:52,38,18
2015-02-02_01:20:52,39,18
2015-02-02_01:30:53,38,18
2015-02-02_01:40:53,38,18
2015-02-02_01:50:54,39,18
2015-02-02_02:00:54,38,17
2015-02-02_02:10:55,39,17
2015-02-02_02:20:55,39,17
2015-02-02_02:30:56,38,17
2015-02-02_02:40:56,38,17
2015-02-02_02:50:57,38,17
2015-02-02_03:00:57,38,17
2015-02-02_03:10:58,38,17
2015-02-02_03:20:59,38,17
2015-02-02_03:30:59,38,17
2015-02-02_03:41:00,38,17
2015-02-02_03:51:00,38,17
2015-02-02_04:01:01,38,17
2015-02-02_04:11:01,38,17
2015-02-02_04:21:02,39,17
2015-02-02_04:31:02,38,17
2015-02-02_04:41:03,38,17
2015-02-02_04:51:03,38,17
2015-02-02_05:01:04,39,17
2015-02-02_05:11:04,38,17
2015-02-02_05:21:05,38,17
2015-02-02_05:31:05,39,16
2015-02-02_05:41:06,39,16
2015-02-02_05:51:06,38,17
2015-02-02_06:01:07,38,17
2015-02-02_06:11:07,38,17
2015-02-02_06:21:08,38,17
2015-02-02_06:31:08,38,17
2015-02-02_06:41:09,38,17
2015-02-02_06:51:09,38,17
2015-02-02_07:01:10,38,17
2015-02-02_07:11:10,38,17
2015-02-02_07:21:11,38,17
2015-02-02_07:31:11,38,18
2015-02-02_07:41:12,37,19
2015-02-02_07:51:12,37,19
2015-02-02_08:01:13,37,19
2015-02-02_08:11:13,38,20
2015-02-02_08:21:14,37,19
2015-02-02_08:31:15,37,19
2015-02-02_08:41:15,37,19
2015-02-02_08:51:16,36,21
2015-02-02_09:01:16,36,22
2015-02-02_09:11:17,36,21
2015-02-02_09:21:17,37,20
2015-02-02_09:31:18,37,20
2015-02-02_09:41:18,37,20
2015-02-02_09:51:19,38,18
2015-02-02_10:01:19,38,18
2015-02-02_10:11:20,38,18
2015-02-02_10:21:20,38,18
2015-02-02_10:31:21,38,18
2015-02-02_10:41:21,38,18
2015-02-02_10:51:22,38,18
2015-02-02_11:01:22,38,18
2015-02-02_11:11:23,38,18
2015-02-02_11:21:23,38,18
2015-02-02_11:31:24,38,18
2015-02-02_11:41:24,38,18
2015-02-02_11:51:25,39,18
2015-02-02_12:01:25,39,18
2015-02-02_12:11:26,39,18
2015-02-02_12:21:26,39,18
2015-02-02_12:31:27,39,18
2015-02-02_12:41:27,39,18
2015-02-02_12:51:28,39,18
2015-02-02_13:01:29,39,18
2015-02-02_13:11:29,39,18
2015-02-02_13:21:30,39,18
2015-02-02_13:31:30,39,18
2015-02-02_13:41:31,39,18
2015-02-02_13:51:31,39,18
2015-02-02_14:01:32,39,18
2015-02-02_14:11:32,39,18
2015-02-02_14:21:33,39,18
2015-02-02_14:31:33,39,18
2015-02-02_14:41:33,39,18
2015-02-02_14:51:34,39,18
2015-02-02_15:01:35,39,18
2015-02-02_15:11:35,39,18
2015-02-02_15:21:35,39,18
2015-02-02_15:31:36,39,18
2015-02-02_15:41:36,39,18
2015-02-02_15:51:37,39,18
2015-02-02_16:01:38,39,18
2015-02-02_16:11:38,39,18
2015-02-02_16:21:39,39,18
2015-02-02_16:31:39,39,18
2015-02-02_16:41:40,39,18
2015-02-02_16:51:40,39,18
2015-02-02_17:01:40,39,18
2015-02-02_17:11:41,39,18
2015-02-02_17:21:42,39,18
2015-02-02_17:31:42,39,18
2015-02-02_17:41:43,39,18
2015-02-02_17:51:43,39,18
2015-02-02_18:01:44,39,18
2015-02-02_18:11:44,39,18
2015-02-02_18:21:45,39,18
2015-02-02_18:31:45,39,18
2015-02-02_18:41:46,39,18
2015-02-02_18:51:46,39,18
2015-02-02_19:01:47,39,18
2015-02-02_19:11:47,39,18
2015-02-02_19:21:48,39,18
2015-02-02_19:31:48,39,18
2015-02-02_19:41:49,39,18
2015-02-02_19:51:49,39,18
2015-02-02_20:01:51,39,18
2015-02-02_20:11:51,39,18
2015-02-02_20:21:52,39,18
2015-02-02_20:31:52,39,18
2015-02-02_20:41:53,39,18
2015-02-02_20:51:53,39,18
2015-02-02_21:01:54,39,18
2015-02-02_21:11:54,39,18
2015-02-02_21:21:55,39,18
2015-02-02_21:31:55,39,18
2015-02-02_21:41:56,39,18
2015-02-02_21:51:56,39,18
2015-02-02_22:01:57,39,18
2015-02-02_22:11:57,39,18
2015-02-02_22:21:58,39,18
2015-02-02_22:31:58,39,18
2015-02-02_22:41:59,39,18
2015-02-02_22:51:59,39,18
2015-02-02_23:02:00,39,18
2015-02-02_23:12:00,39,18
2015-02-02_23:22:01,39,18
2015-02-02_23:32:01,39,18
2015-02-02_23:42:02,39,18
2015-02-02_23:52:02,39,18
2015-02-03_00:02:03,39,18
2015-02-03_00:12:03,39,18
2015-02-03_00:22:04,39,18
2015-02-03_00:32:04,39,18
2015-02-03_00:42:05,39,18
2015-02-03_00:52:05,39,18
2015-02-03_01:02:06,39,18
2015-02-03_01:12:07,39,18
2015-02-03_01:22:07,39,17
2015-02-03_01:32:07,39,17
2015-02-03_01:42:08,39,17
2015-02-03_01:52:08,39,17
2015-02-03_02:02:09,39,17
2015-02-03_02:12:09,39,17
2015-02-03_02:22:10,39,17
2015-02-03_02:32:10,39,17
2015-02-03_02:42:11,39,17
2015-02-03_02:52:11,39,17
2015-02-03_03:02:12,39,17
2015-02-03_03:12:12,39,17
2015-02-03_03:22:13,39,17
2015-02-03_03:32:13,39,17
2015-02-03_03:42:14,39,17
2015-02-03_03:52:14,39,17
2015-02-03_04:02:15,39,17
2015-02-03_04:12:16,39,17
2015-02-03_04:22:16,39,17
2015-02-03_04:32:17,39,17
2015-02-03_04:42:17,39,17
2015-02-03_04:52:18,39,16
2015-02-03_05:02:18,40,16
2015-02-03_05:12:19,40,16
2015-02-03_05:22:19,39,16
2015-02-03_05:32:20,40,16
2015-02-03_05:42:20,39,17
2015-02-03_05:52:21,38,17
2015-02-03_06:02:21,38,17
2015-02-03_06:12:22,39,17
2015-02-03_06:22:22,39,17
2015-02-03_06:32:23,39,17
2015-02-03_06:42:23,39,17
2015-02-03_06:52:24,39,17
2015-02-03_07:02:24,39,17
2015-02-03_07:12:25,39,17
2015-02-03_07:22:25,39,17
2015-02-03_07:32:26,38,17
2015-02-03_07:42:26,38,17
2015-02-03_07:52:27,38,17
2015-02-03_08:02:27,38,17
2015-02-03_08:12:28,38,18
2015-02-03_08:22:28,38,18
2015-02-03_08:32:28,39,18
2015-02-03_08:42:29,39,18
2015-02-03_08:52:30,39,18
2015-02-03_09:02:30,38,18
2015-02-03_09:12:31,39,18
2015-02-03_09:22:31,39,18
2015-02-03_09:32:32,39,18
2015-02-03_09:42:32,39,18
2015-02-03_09:52:33,39,18
2015-02-03_10:02:33,39,18
2015-02-03_10:12:34,39,18
2015-02-03_10:22:34,39,18
2015-02-03_10:32:35,38,18
2015-02-03_10:42:35,39,18
2015-02-03_10:52:36,39,18
2015-02-03_11:02:36,39,18
2015-02-03_11:12:37,39,18
2015-02-03_11:22:37,39,18
2015-02-03_11:32:38,39,18
2015-02-03_11:42:38,38,18
2015-02-03_11:52:39,38,18
2015-02-03_12:02:39,39,18
2015-02-03_12:12:40,39,18
2015-02-03_12:22:40,39,18
2015-02-03_12:32:41,38,18
2015-02-03_12:42:41,39,18
